id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
1056697114523140097,bayosoety25,"RT @CakKhum: Dalam 3,5 thn Jokowi menurunkan 0,81%, bandingkan dgn periode pertama SBY dlm 3,5 thn 1,4%, Periode kedua 3,5 thn menurunkan pengangguran 1,99%

Kita butuh kecepatan yg akseleratif menurunkan pengangguran dan itu yg ditawarkan #PrabowoSandi
(@Gamal_Albinsaid)

#2019GantiPresiden https://t.co/SZ6Czxjllr",Sun Oct 28 23:59:59 +0000 2018,28/10/2018 23:59:59,,id,,,718023674230538240,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1049662949860601859/hpFJeSB6_normal.jpg,123,234,,http://twitter.com/bayosoety25/statuses/1056697114523140097,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""CakKhum"",""name"":""CAK KHUM"",""id"":899319611354632200,""id_str"":""899319611354632192"",""indices"":[3,11]}],""urls"":[]}"
1056697110349791232,Shafir41,"RT @BangPino_: Share video ini sebanyak-banyaknya...!!!

Propaganda Abu Janda harus dilawan. Jangan sampai kita hanya diam tanpa memberikan informasi berita pembanding hal hal yang biasa dilakukan penyusup2 dalam memecah barisan lawan.

#2019GantiPresiden

 https://t.co/WT4o5GEumP",Sun Oct 28 23:59:58 +0000 2018,28/10/2018 23:59:58,,en,,,1045082934686797824,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1051424775107571713/Ex8adM15_normal.jpg,534,479,Indonesia,http://twitter.com/Shafir41/statuses/1056697110349791232,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""BangPino_"",""name"":""BP™"",""id"":766944888248074200,""id_str"":""766944888248074240"",""indices"":[3,13]}],""urls"":[]}"
1056697109829668866,saddanglaw02,"RT @Cah_Ngarengan: @saddanglaw1 @Bambang44159536 Selamat Pagi juga
Selamat Berjuang 
Semoga Allah memberi kemenangan.

#2019GantiPresiden 
#2019PrabowoSandi 
#AdilMakmur",Sun Oct 28 23:59:58 +0000 2018,28/10/2018 23:59:58,,id,,,1056591737269870592,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1056593743044694016/q1QAsCk8_normal.jpg,518,515,"Sulawesi Selatan, Indonesia",http://twitter.com/saddanglaw02/statuses/1056697109829668866,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""Cah_Ngarengan"",""name"":""Moh Siji"",""id"":2159961170,""id_str"":""2159961170"",""indices"":[3,17]}],""urls"":[]}"
1056697067379150851,Dyno_2019,"RT @RajaPurwa: Hah @aniesbaswedan dipecat gara-gara 23 T?  Ya amypun...! 

Sebar? jangan!... Sebar? jangan!... Jangan disebar dech bro, kesian ebong! :-)

#2019GantiPresiden
#OrangJujurPilihOrangJujur https://t.co/HB7HLOTcIU",Sun Oct 28 23:59:48 +0000 2018,28/10/2018 23:59:48,,id,,,1352074176,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1057917627127889926/TSaa6_IP_normal.jpg,2319,985,Lampung indonesia,http://twitter.com/Dyno_2019/statuses/1056697067379150851,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""RajaPurwa"",""name"":""ㅤㅤㅤ ㅤ ㅤㅤㅤㅤㅤㅤ ㅤ ㅤㅤㅤㅤㅤㅤ ㅤ ㅤㅤㅤ"",""id"":2338638961,""id_str"":""2338638961"",""indices"":[3,13]},{""screen_name"":""aniesbaswedan"",""name"":""Anies Baswedan"",""id"":110312278,""id_str"":""110312278"",""indices"":[19,33]}],""urls"":[]}"
1056697052095115264,opick801,"RT @CendanaCenter: “Kita berkumpul disini karena memiliki tujuan yang sama yakni 2019 ganti presiden,” 
`@TitiekSoeharto `
#2019GantiPresiden
#2019PrabowoSandi
#2019PadiMenang https://t.co/kU3EnuGZkJ",Sun Oct 28 23:59:44 +0000 2018,28/10/2018 23:59:44,,id,,,1059135846,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1043142413160607744/pCnYXd7n_normal.jpg,744,524,Indonesia,http://twitter.com/opick801/statuses/1056697052095115264,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""CendanaCenter"",""name"":""IG: Cendana Center"",""id"":1008533255182737400,""id_str"":""1008533255182737408"",""indices"":[3,17]},{""screen_name"":""TitiekSoeharto"",""name"":""Titiek Soeharto"",""id"":1372181384,""id_str"":""1372181384"",""indices"":[105,120]}],""urls"":[]}"
1056697048555114496,amsalri,"RT @BangPino_: Beginilah kondisi perjuangan Oposisi saat ini dlm #2019GantiPresiden :

Logistik : Minim
Media : Hampir tdk punya
Aparatur : Tidak berpihak

Tak apa, bila rakyat udah berkehendak, insya Allah April 2019 kita punya Presiden baru #PrabowoSandi
Cc @ZUL_Hasan
 https://t.co/VVhKBKTroY",Sun Oct 28 23:59:43 +0000 2018,28/10/2018 23:59:43,,id,,,4851876149,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/692163207704809474/G6sj2156_normal.jpg,419,599,Indonesia,http://twitter.com/amsalri/statuses/1056697048555114496,"{""hashtags"":[{""text"":""2019GantiPresiden"",""indices"":[65,83]}],""symbols"":[],""user_mentions"":[{""screen_name"":""BangPino_"",""name"":""BP™"",""id"":766944888248074200,""id_str"":""766944888248074240"",""indices"":[3,13]}],""urls"":[]}"
1056697044427886592,ucukuprut,"RT @opposite6890: NON SKILL PILOT 

Jika Pilot mu Flanga Flongo
Jangan heran jika nanti.. 

Kau akan di bawa ke tepi jurang. .

Jangan serahkan kepada yang BUKAN AHLINYA .

#2019GantiPresiden 
#2019PrabowoPresiden 
#2019PrabowoSandi 
#AdilMakmur https://t.co/MHb1cUrfU9",Sun Oct 28 23:59:42 +0000 2018,28/10/2018 23:59:42,,id,,,2801664302,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/509678204781490176/KOVukhTb_normal.jpeg,837,1159,,http://twitter.com/ucukuprut/statuses/1056697044427886592,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""opposite6890"",""name"":""Opposite6890"",""id"":967774918916976600,""id_str"":""967774918916976640"",""indices"":[3,16]}],""urls"":[]}"
1056697012379238401,Hardi_satriani,"RT @CakKhum: Kalau Bang Sandi Politikus Kemarin Sore, mana bisa jadi Wagub dan sekarang Cawapres, punya tempurung di isi biar ngomongnya ada isinya.

Tempurung cuma dipakai ngumpat saja belagu, shame on you @Gustika

#2019GantiPresiden #PrabowoSandi #AdilMakmur https://t.co/P8FzssjQvh",Sun Oct 28 23:59:34 +0000 2018,28/10/2018 23:59:34,,id,,,85060734,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/980393847/me_normal.jpg,144,177,Indonesia,http://twitter.com/Hardi_satriani/statuses/1056697012379238401,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""CakKhum"",""name"":""CAK KHUM"",""id"":899319611354632200,""id_str"":""899319611354632192"",""indices"":[3,11]}],""urls"":[]}"
1056697009736839168,PejuangSubuh08,"RT @newsjundi: Ketua Banser Kota Palopo Sulawesi Selatan, Hasdianto ikut dalam aksi bela kalimat Tauhid...dia siap dipecat dari Banser karna dia bela Kalimat Tauhid.

bos Banser @GPAnsor_Satu gmn sampean kpn Tobat nya..? 

#2019GantiPresiden agar tdk ada lg yg bakar bendera Tauhid https://t.co/rqtMfeJsOs",Sun Oct 28 23:59:34 +0000 2018,28/10/2018 23:59:34,,id,,,854475730935140352,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1058049675817709568/5X6R4Ag1_normal.jpg,446,702,didunia #2019GantiPresiden ,http://twitter.com/PejuangSubuh08/statuses/1056697009736839168,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""newsjundi"",""name"":""jundiNews"",""id"":960842491430711300,""id_str"":""960842491430711297"",""indices"":[3,13]}],""urls"":[]}"
1056696993513267201,denurangbandung,"RT @RelawanProSandi: #EsemkaSontoloyo 

Mandi kembang..
Mobilnya hilang
Eh# muncul Generasi III 

Entah siapa yg beli Generasi I dan II 

Kayaknya dijual dialam astral? #TeknologiSontoloyo ala #PolitikusSontoloyo

Saatnya #2019PrabowoSandi
#RelawanProSandi
#2019GantiPresiden https://t.co/FDdkaCOUkN",Sun Oct 28 23:59:30 +0000 2018,28/10/2018 23:59:30,,id,,,156974818,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1040081298553888768/aK3CGlQt_normal.jpg,397,1142,Bandung - Indonesia,http://twitter.com/denurangbandung/statuses/1056696993513267201,"{""hashtags"":[{""text"":""EsemkaSontoloyo"",""indices"":[21,37]}],""symbols"":[],""user_mentions"":[{""screen_name"":""RelawanProSandi"",""name"":""#RelawanProSandi Official"",""id"":2326479788,""id_str"":""2326479788"",""indices"":[3,19]}],""urls"":[]}"
